active_ingredient,agent_price_ugx,brand,category,created_at,created_by,description_en,description_lg,diaspora_price_usd,feature_home,id,maaif_reg_number,name,price_ugx,reentry_interval_hrs,show_diaspora,show_on_shop,sku,status,total_stock,updated_at
,,,Seeds,2026-05-28T13:44:22.089217+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,1.589454499215869,False,71a4cd9d-9bfe-4fc0-88e1-88fcbbb4f6d9,,Bugga,6000,,False,True,SED00010,active,296,2026-05-28T13:44:22.089217+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,2.6490908320264483,False,7ae98dba-4201-4b84-a86f-1bd984efeb47,,Nsanja Coromate. 250g,10000,,False,True,CRO00029,active,13,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,4.238545331242317,False,6ab56a66-0c5b-4a3e-9848-32b0655d393d,,Nsanja Coromate. 500g,16000,,False,True,CRO00030,active,27,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,4.238545331242317,False,75a23771-d815-46b3-9423-9a02197acd50,,Pearl 50 SC 250ml,16000,,False,True,CRO00031,active,2,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,8.477090662484635,False,7f4c303c-2861-4695-9354-2f39945653f9,,Pearl SC 500mls,32000,,False,True,CRO00032,active,5,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,6.622727080066121,False,d6764ab8-f7ff-41dd-ba1b-4ecb7850ad35,,Ridomil Gold MZ 68 WG,25000,,False,True,CRO00033,active,0,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,2.9139999152290934,False,5c8b49f9-77ed-4880-b2e5-14161ca081b4,,Sulcop-250g,11000,,False,True,CRO00034,active,1,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,5.563090747255542,False,02c5a8e2-3562-45ea-97fc-18069a6b28e4,,Sulcop-500g,21000,,False,True,CRO00035,active,0,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,2.6490908320264483,False,8a357021-e340-474d-8bd6-04fb3aa69e7c,,T-Buzz-100mls,10000,,False,True,CRO00036,active,86,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,9.536726995295215,False,4dca4b97-bb17-4a3b-bf49-5b1e4f2366d4,,TBuzz 500mls,36000,,False,True,CRO00037,active,48,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,18.543635824185138,False,a322318a-18e3-452d-91fd-b3815b5d04bf,,TBuzz LTR,70000,,False,True,CRO00038,active,9,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,1.3245454160132242,False,3ed545b6-0518-435c-b5a1-302a85658775,,Toplite-100gm,5000,,False,True,CRO00039,active,432,2026-05-28T13:44:23.431696+00:00
,,,Fungicides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,5.033272580850252,False,dbe0ac5c-f825-47e9-95a4-960b90612db5,,Xelora Max 500WG,19000,,False,True,CRO00040,active,3,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,2.6490908320264483,False,d3b85dd7-4236-432f-84d2-e685329ca5d9,,250ml Ramida,10000,,False,True,INSECT00001,active,112,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,0.7947272496079345,False,c9120a41-492c-46ce-bcef-2d579e8edc7c,,Acelamectin Force 100mls Jubaili,3000,,False,True,INSECT00002,active,201,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,2.3841817488238037,False,05a6fee0-685b-484c-a8a6-07a66d9b5499,,Antkiller 250mls,9000,,False,True,INSECT00003,active,187,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,4.503454414444962,False,df43c557-fe12-4dac-a693-ca29e006466a,,Antkiller 500mls,17000,,False,True,INSECT00004,active,20,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,8.477090662484635,False,67cdfa54-69a8-4559-ab69-0247944b8748,,Antkiller ltr,32000,,False,True,INSECT00005,active,10,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,9.80163607849786,False,40c3d920-79c1-4183-88f2-e3290aeb4bb0,,Avaunt 50mls,37000,,False,True,INSECT00006,active,1,2026-05-28T13:44:23.431696+00:00
,,,Insecticides,2026-05-28T13:44:23.431696+00:00,5b5f8ef0-762a-40e1-9c3e-1c671fc49b47,,,5.298181664052897,False,252c514c-62ba-4545-821e-3013032fd33e,,Bash 250mls,20000,,False,True,INSECT00007,active,0,2026-05-28T13:44:23.431696+00:00
